# test name, category, real vulnerability, cwe, Benchmark version: 1.2, 2016-06-1
BenchmarkTest00001,pathtraver,true,22
BenchmarkTest00002,pathtraver,true,22
BenchmarkTest00003,hash,true,328
BenchmarkTest00004,trustbound,true,501
BenchmarkTest00005,crypto,true,327
BenchmarkTest00006,cmdi,true,78
BenchmarkTest00007,cmdi,true,78
BenchmarkTest00008,sqli,true,89
BenchmarkTest00009,hash,false,328
BenchmarkTest00010,weakrand,false,330
BenchmarkTest00011,pathtraver,true,22
BenchmarkTest00012,ldapi,true,90
BenchmarkTest00013,xss,true,79
BenchmarkTest00014,xss,true,79
BenchmarkTest00015,cmdi,true,78
BenchmarkTest00016,securecookie,false,614
BenchmarkTest00017,cmdi,true,78
BenchmarkTest00018,sqli,true,89
BenchmarkTest00019,crypto,true,327
BenchmarkTest00020,crypto,true,327
BenchmarkTest00021,ldapi,true,90
BenchmarkTest00022,hash,false,328
BenchmarkTest00023,weakrand,true,330
BenchmarkTest00024,sqli,true,89
BenchmarkTest00025,sqli,true,89
BenchmarkTest00026,sqli,true,89
BenchmarkTest00027,sqli,true,89
BenchmarkTest00028,pathtraver,true,22
BenchmarkTest00029,hash,true,328
BenchmarkTest00030,xss,true,79
